BANKLEITZAHL|KOSTENSTELLENGRUPPE|KOSTENSTELLENGRUPPENBEZEICHNUNG|DRUCK_KONDITIONEN|UMSATZGRENZE_SOLL|UMSATZGRENZE_HABEN|SCHECK_SPESEN_STK10|SCHECK_SPESEN_STK20
35260|90|Verwaltung|2|7000|7000|3,50|7,00
35290|90|Verwaltung|2|7000|7000|3,50|7,00
35310|90|Verwaltung|2|7000|7000|3,50|7,00
35322|90|Verwaltung|2|7000|7000|3,50|7,00
35624|90|Verwaltung|2|7000|7000|3,50|7,00
35631|90|Verwaltung|2|7000|7000|3,50|7,00
35633|90|Verwaltung|2|7000|7000|3,50|7,00
35636|90|Verwaltung|2|7000|7000|3,50|7,00
35900|90|Verwaltung|2|7000|7000|3,50|7,00
35901|90|Verwaltung|2|7000|7000|3,50|7,00
35910|90|Verwaltung|2|7000|7000|3,50|7,00
35912|90|Verwaltung|2|7000|7000|3,50|7,00
